id_jugador;full_name;name;last_name;age;birthday_GMT;position_campo;current_club;nationality
1;Aaron Anselmino;Aaron;Anselmino;18;NULL;Defender;Boca Juniors;Argentina
2;Aaron Facundo Quiroz;Aaron;Facundo Quiroz;21;NULL;Defender;Banfield;Argentina
3;Aaron Nicolas Molinas;Aaron;Nicolas Molinas;23;NULL;Midfielder;Tigre;Argentina
4;Adam Fernando Bareiro Gamarra;Adam;Fernando Bareiro Gamarra;27;NULL;Forward;San Lorenzo;Paraguay
5;Adriaan Emmanuel Martinez;Adriaan;Emmanuel Martinez;31;NULL;Forward;Instituto;Argentina
6;Adrian  Guillermo Sanchez;Adrian; Guillermo Sanchez;24;NULL;Midfielder;Atletico Tucuman;Argentina
7;Adriian Sporle;Adriian;Sporle;28;NULL;Defender;Arsenal de Sarandi;Argentina
8;Agostino Luigi Spina;Agostino;Luigi Spina;21;NULL;Midfielder;Huracan;Argentina
9;Agustin Alonso;Agustin;Alonso;22;NULL;Midfielder;Platense;Argentina
10;Agustin Baldi;Agustin;Baldi;21;NULL;Midfielder;Tigre;Argentina
11;Agustin Cardozo;Agustin;Cardozo;26;NULL;Midfielder;Tigre;Argentina
12;Agustin Ezequiel Almendra;Agustin;Ezequiel Almendra;23;NULL;Midfielder;Racing Club;Argentina
13;Agustin Gabriel Bolivar;Agustin;Gabriel Bolivar;27;NULL;Midfielder;Gimnasia La Plata;Argentina
14;Agustin Giay;Agustin;Giay;19;NULL;Midfielder;San Lorenzo;Argentina
15;Agustin Hausch;Agustin;Hausch;20;NULL;Forward;San Lorenzo;Argentina
16;Agustin Ismael Alvarez;Agustin;Ismael Alvarez;19;NULL;Defender;Arsenal de Sarandi;Argentina
17;Agustin Javier Rodriguez;Agustin;Javier Rodriguez;19;NULL;Midfielder;Lanus;Argentina
18;Agustin Lagos;Agustin;Lagos;21;NULL;Defender;Atletico Tucuman;Argentina
19;Agustin Martegani;Agustin;Martegani;23;NULL;Midfielder;San Lorenzo;Argentina
20;Agustin Nicola Dattola;Agustin;Nicola Dattola;24;NULL;Defender;Barracas Central;Argentina
21;Agustin Nicola Mulet;Agustin;Nicola Mulet;23;NULL;Midfielder;Independiente;Argentina
22;Agustin Obando;Agustin;Obando;23;NULL;Forward;Tigre;Argentina
23;Agustin Ojeda;Agustin;Ojeda;19;NULL;Midfielder;Racing Club;Argentina
24;Agustin Palavecino;Agustin;Palavecino;26;NULL;Midfielder;River Plate;Argentina
25;Agustin Quiroga;Agustin;Quiroga;21;NULL;Goalkeeper;Independiente;Argentina
26;Agustin Ramirez;Agustin;Ramirez;23;NULL;Forward;Gimnasia La Plata;Argentina
27;Agustin Urzi;Agustin;Urzi;23;NULL;Forward;Banfield;Argentina
28;Alan Aguerre;Alan;Aguerre;33;NULL;Goalkeeper;Lanus;Argentina
29;Alan Francisco Rodriguez Armoa;Alan;Francisco Rodriguez Armoa;23;NULL;Midfielder;Rosario Central;Paraguay
30;Alan Leonel Di Pippa;Alan;Leonel Di Pippa;23;NULL;Midfielder;Banfield;Argentina
31;Alan Marinelli;Alan;Marinelli;24;NULL;Forward;Sarmiento;Argentina
32;Alan Martin Cantero;Alan;Martin Cantero;25;NULL;Forward;Barracas Central;Argentina
33;Alan Rodriguez;Alan;Rodriguez;23;NULL;Midfielder;Argentinos Juniors;Uruguay
34;Alan Sosa;Alan;Sosa;20;NULL;Midfielder;Gimnasia La Plata;Argentina
35;Alan Steven Franco Palma;Alan;Steven Franco Palma;25;NULL;Midfielder;Talleres Cordoba;Ecuador
36;Alan Tobias Morinigo;Alan;Tobias Morinigo;17;NULL;Defender;Defensa y Justicia;Argentina
37;Alan Varela;Alan;Varela;22;NULL;Midfielder;Boca Juniors;Argentina
38;Alberto Espinola Gimenez;Alberto;Espinola Gimenez;32;NULL;Defender;Colon;Paraguay
39;Alejandro Cesar Donatti;Alejandro;Cesar Donatti;36;NULL;Defender;Sarmiento;Argentina
40;Alejandro Gabriel Medina;Alejandro;Gabriel Medina;36;NULL;Goalkeeper;Arsenal de Sarandi;Argentina
41;Alejandro Martin Cabrera;Alejandro;Martin Cabrera;30;NULL;Defender;Banfield;Argentina
42;Alejandro Miguel Sanchez;Alejandro;Miguel Sanchez;36;NULL;Goalkeeper;Platense;Argentina
43;Alejandro Piedrahita Diaz;Alejandro;Piedrahita Diaz;21;NULL;Midfielder;Banfield;Colombia
44;Alejandro Ramon Maciel;Alejandro;Ramon Maciel;26;NULL;Defender;Banfield;Argentina
