full_name;name;last_name;current_club;nationality;goals_overall;assists_overall
Aaron Anselmino;Aaron;Anselmino;Boca Juniors;Argentina;0;0
Aaron Facundo Quiroz;Aaron;Facundo Quiroz;Banfield;Argentina;1;1
Aaron Nicolas Molinas;Aaron;Nicolas Molinas;Tigre;Argentina;1;3
Adam Fernando Bareiro Gamarra;Adam;Fernando Bareiro Gamarra;San Lorenzo;Paraguay;9;1
Adriaan Emmanuel Martinez;Adriaan;Emmanuel Martinez;Instituto;Argentina;12;1
Adrian  Guillermo Sanchez;Adrian; Guillermo Sanchez;Atletico Tucuman;Argentina;1;1
Adriian Sporle;Adriian;Sporle;Arsenal de Sarandi;Argentina;1;1
Agostino Luigi Spina;Agostino;Luigi Spina;Huracan;Argentina;0;0
Agustin Alonso;Agustin;Alonso;Platense;Argentina;0;0
Agustin Baldi;Agustin;Baldi;Tigre;Argentina;0;0
Agustin Cardozo;Agustin;Cardozo;Tigre;Argentina;1;0
Agustin Ezequiel Almendra;Agustin;Ezequiel Almendra;Racing Club;Argentina;0;1
Agustin Gabriel Bolivar;Agustin;Gabriel Bolivar;Gimnasia La Plata;Argentina;0;1
Agustin Giay;Agustin;Giay;San Lorenzo;Argentina;0;0
Agustin Hausch;Agustin;Hausch;San Lorenzo;Argentina;0;0
Agustin Ismael Alvarez;Agustin;Ismael Alvarez;Arsenal de Sarandi;Argentina;0;0
Agustin Javier Rodriguez;Agustin;Javier Rodriguez;Lanus;Argentina;0;0
Agustin Lagos;Agustin;Lagos;Atletico Tucuman;Argentina;0;0
Agustin Martegani;Agustin;Martegani;San Lorenzo;Argentina;0;1
Agustin Nicola Dattola;Agustin;Nicola Dattola;Barracas Central;Argentina;0;0
Agustin Nicola Mulet;Agustin;Nicola Mulet;Independiente;Argentina;0;0
Agustin Obando;Agustin;Obando;Tigre;Argentina;0;0
Agustin Ojeda;Agustin;Ojeda;Racing Club;Argentina;1;1
Agustin Palavecino;Agustin;Palavecino;River Plate;Argentina;2;0
Agustin Quiroga;Agustin;Quiroga;Independiente;Argentina;0;0
Agustin Ramirez;Agustin;Ramirez;Gimnasia La Plata;Argentina;0;0
Agustin Urzi;Agustin;Urzi;Banfield;Argentina;0;0
Alan Aguerre;Alan;Aguerre;Lanus;Argentina;0;0
Alan Francisco Rodriguez Armoa;Alan;Francisco Rodriguez Armoa;Rosario Central;Paraguay;1;5
Alan Leonel Di Pippa;Alan;Leonel Di Pippa;Banfield;Argentina;0;0
Alan Marinelli;Alan;Marinelli;Sarmiento;Argentina;0;1
Alan Martin Cantero;Alan;Martin Cantero;Barracas Central;Argentina;1;0
Alan Rodriguez;Alan;Rodriguez;Argentinos Juniors;Uruguay;1;0
Alan Sosa;Alan;Sosa;Gimnasia La Plata;Argentina;0;0
Alan Steven Franco Palma;Alan;Steven Franco Palma;Talleres Cordoba;Ecuador;0;1
Alan Tobias Morinigo;Alan;Tobias Morinigo;Defensa y Justicia;Argentina;0;0
Alan Varela;Alan;Varela;Boca Juniors;Argentina;0;1
Alberto Espinola Gimenez;Alberto;Espinola Gimenez;Colon;Paraguay;1;0
