full_name;age;birthday_GMT;league;season;position;Current Club;minutes_played_overall;minutes_played_home;minutes_played_away;nationality;appearances_overall;goals_overall;assists_overall;penalty_goals;penalty_misses;yellow_cards_overall;red_cards_overall;assists_per_90_overall;passes_per_90_overall;shots_total_overall;blocks_total_overall
Agustin Urzi;23;jueves, 04 de mayo de 2000;Primera Division;2023;Forward;Banfield;68;68;0;Argentina;1;0;0;0;0;0;0;0;14.56;0;0
Alan Aguerre;33;jueves, 23 de agosto de 1990;Primera Division;2023;Goalkeeper;Lanus;270;180;90;Argentina;3;0;0;0;0;0;0;0;22.67;0;0
Alan Francisco Rodriguez Armoa;23;martes, 15 de agosto de 2000;Primera Division;2023;Midfielder;Rosario Central;2521;1406;1115;Paraguay;29;1;5;0;0;2;1;0.18;35.34;18;7
Alan Leonel Di Pippa;23;viernes, 16 de junio de 2000;Primera Division;2023;Midfielder;Banfield;230;46;184;Argentina;7;0;0;0;0;1;0;0;0.00;0;0
Alan Marinelli;24;miercoles, 07 de abril de 1999;Primera Division;2023;Forward;Sarmiento;253;173;80;Argentina;3;0;1;0;0;0;0;0.36;15.30;2;1
Alan Martin Cantero;25;domingo, 28 de junio de 1998;Primera Division;2023;Forward;Barracas Central;494;319;175;Argentina;17;1;0;0;0;1;0;0;17.74;8;0
Alan Rodriguez;23;martes, 25 de enero de 2000;Primera Division;2023;Midfielder;Argentinos Juniors;1341;621;720;Uruguay;21;1;0;0;0;1;0;0;37.79;16;3
Alan Sosa;20;lunes, 05 de mayo de 2003;Primera Division;2023;Midfielder;Gimnasia La Plata;496;257;239;Argentina;12;0;0;0;0;0;0;0;0.00;0;0
Alan Steven Franco Palma;25;viernes, 21 de agosto de 1998;Primera Division;2023;Midfielder;Talleres Cordoba;1038;450;588;Ecuador;19;0;1;0;0;2;0;0.09;34.94;3;4
Alan Tobias Morinigo;17;jueves, 22 de septiembre de 2005;Primera Division;2023;Defender;Defensa y Justicia;54;0;54;Argentina;1;0;0;0;0;0;0;0;0.00;0;0
Alan Varela;22;miercoles, 04 de julio de 2001;Primera Division;2023;Midfielder;Boca Juniors;1714;801;913;Argentina;24;0;1;0;0;10;0;0.05;59.03;6;13
Alberto Espinola Gimenez;32;viernes, 08 de febrero de 1991;Primera Division;2023;Defender;Colon;270;90;180;Paraguay;3;1;0;0;0;1;0;0;22.33;1;0
Alejandro Cesar Donatti;36;viernes, 24 de octubre de 1986;Primera Division;2023;Defender;Sarmiento;1081;579;502;Argentina;17;0;1;0;0;1;0;0.08;16.98;5;13
Alejandro Gabriel Medina;36;sabado, 14 de febrero de 1987;Primera Division;2023;Goalkeeper;Arsenal de Sarandi;2700;1350;1350;Argentina;30;0;0;0;0;4;0;0;29.48;1;1
Alejandro Martin Cabrera;30;miercoles, 30 de septiembre de 1992;Primera Division;2023;Defender;Banfield;1799;990;809;Argentina;22;0;0;0;0;7;2;0;43.87;12;4
Alejandro Miguel Sanchez;36;sabado, 25 de octubre de 1986;Primera Division;2023;Goalkeeper;Platense;0;0;0;Argentina;0;0;0;0;0;0;0;0;0;0;0
Alejandro Piedrahita Diaz;21;martes, 03 de septiembre de 2002;Primera Division;2023;Midfielder;Banfield;160;79;81;Colombia;5;0;0;0;0;0;0;0;30.94;0;1
Alejandro Ramon Maciel;26;martes, 22 de abril de 1997;Primera Division;2023;Defender;Banfield;2121;1041;1080;Argentina;25;0;0;0;0;6;0;0;32.89;7;22
Alejandro Rebola;35;domingo, 24 de julio de 1988;Primera Division;2023;Defender;Belgrano;2344;1209;1135;Argentina;27;0;0;0;0;7;3;0;41.47;8;8
Alejo Pablo Monje;22;martes, 07 de agosto de 2001;Primera Division;2023;Midfielder;Platense;6;6;0;Argentina;1;0;0;0;0;0;0;0;0.00;0;0
Alejo Toledo;23;miercoles, 01 de marzo de 2000;Primera Division;2023;Defender;Rosario Central;634;307;327;Argentina;14;0;0;0;0;1;0;0;46.56;6;0
Alejo Veliz;19;viernes, 19 de septiembre de 2003;Primera Division;2023;Forward;Rosario Central;1795;953;842;Argentina;23;11;0;1;0;1;0;0;0.00;0;0
Alex Juarez;18;viernes, 17 de septiembre de 2004;Primera Division;2023;Midfielder;Barracas Central;4;4;0;Argentina;1;0;0;0;0;0;0;0;0.00;0;0
Alexis Amadeo Sabella;22;miercoles, 20 de junio de 2001;Primera Division;2023;Midfielder;Platense;164;64;100;Argentina;7;0;0;0;0;2;0;0;0.00;0;0
Alexis Castillo Manyoma;20;jueves, 30 de enero de 2003;Primera Division;2023;Midfielder;Estudiantes;131;69;62;Colombia;2;1;0;0;0;0;0;0;30.92;3;0
Alexis Castro;28;martes, 18 de octubre de 1994;Primera Division;2023;Midfielder;Tigre;1764;742;1022;Argentina;25;1;3;0;0;0;0;0.15;40.00;26;3
Alexis Dominguez Ansorena;26;miercoles, 30 de octubre de 1996;Primera Division;2023;Forward;Barracas Central;767;591;176;Argentina;19;1;0;0;0;0;0;0;20.56;12;1
Alexis Francisco Flores;21;viernes, 11 de enero de 2002;Primera Division;2023;Defender;Atletico Tucuman;360;90;270;Argentina;4;0;0;0;0;1;0;0;0.00;0;0
Alexis Martin Arias;31;sabado, 04 de julio de 1992;Primera Division;2023;Goalkeeper;Argentinos Juniors;1440;720;720;Argentina;16;0;0;0;0;1;0;0;24.19;0;0
Alexis Martinez;18;jueves, 03 de febrero de 2005;Primera Division;2023;Defender;Huracan;0;0;0;Argentina;0;0;0;0;0;0;0;0;0;0;0
Alexis Nahuel Soto;29;miercoles, 20 de octubre de 1993;Primera Division;2023;Defender;Defensa y Justicia;2030;1132;898;Argentina;24;0;1;0;0;6;1;0.04;37.42;0;6
Alexis Pedro Canelo;31;lunes, 03 de febrero de 1992;Primera Division;2023;Midfielder;Independiente;235;165;70;Argentina;3;0;1;0;0;0;0;0.38;20.30;2;0
Alexis Sebastii Segovia;19;martes, 15 de junio de 2004;Primera Division;2023;Forward;Lanus;0;0;0;Argentina;0;0;0;0;0;0;0;0;0;0;0
Alexis Steimbach;21;jueves, 25 de julio de 2002;Primera Division;2023;Midfielder;Gimnasia La Plata;598;326;272;Argentina;14;0;0;0;0;2;0;0;0.00;0;0
Alfredo Ramon Amarilla;21;jueves, 06 de septiembre de 2001;Primera Division;2023;Midfielder;Arsenal de Sarandi;52;30;22;Paraguay;2;0;0;0;0;1;0;0;0.00;0;0
Andres Alberto Desabato;33;viernes, 30 de marzo de 1990;Primera Division;2023;Goalkeeper;Barracas Central;2192;1170;1022;Argentina;25;0;0;0;0;0;0;0;28.04;0;0
Andres Berizovsky;18;martes, 26 de octubre de 2004;Primera Division;2023;Defender;Defensa y Justicia;0;0;0;Argentina;0;0;0;0;0;0;0;0;0;0;0
Andres Eliseo Chavez;32;jueves, 21 de marzo de 1991;Primera Division;2023;Forward;Banfield;1005;546;459;Argentina;19;1;0;0;2;3;0;0;15.60;34;1
Andres Felipe Amaya Rivera;22;martes, 24 de abril de 2001;Primera Division;2023;Midfielder;Belgrano;25;25;0;Colombia;1;0;0;0;0;0;0;0;18.00;0;0
Andres Felipe Roa Estrada;30;martes, 25 de mayo de 1993;Primera Division;2023;Midfielder;Huracan;15;15;0;Colombia;1;0;0;0;0;0;0;0;90.00;0;0
Andres Lorenzo Rios;34;martes, 01 de agosto de 1989;Primera Division;2023;Forward;Defensa y Justicia;116;14;102;Argentina;6;0;0;0;0;0;0;0;20.17;2;0
Andres Vombergar;28;domingo, 20 de noviembre de 1994;Primera Division;2023;Forward;San Lorenzo;1372;816;556;Argentina;19;5;2;2;0;5;0;0.13;22.37;26;2
Angel Cardozo Lucena;28;miercoles, 19 de octubre de 1994;Primera Division;2023;Midfielder;Colon;77;0;77;Paraguay;1;0;0;0;0;0;0;0;26.88;0;0
Angel David Sayago;23;jueves, 08 de junio de 2000;Primera Division;2023;Forward;Independiente;0;0;0;Argentina;0;0;0;0;0;0;0;0;0;0;0
Angel Guillermo Benitez;29;miercoles, 08 de diciembre de 1993;Primera Division;2023;Defender;Huracan;2189;1230;959;Argentina;26;0;1;0;0;6;0;0.04;28.04;11;5
Angel Maria Benitez Arguello;27;sabado, 27 de enero de 1996;Primera Division;2023;Midfielder;Defensa y Justicia;73;27;46;Paraguay;5;0;0;0;0;3;0;0;28.36;1;0
Angelo Martino;25;viernes, 05 de junio de 1998;Primera Division;2023;Midfielder;Newell's Old Boys;1020;346;674;Argentina;16;0;1;0;0;8;2;0.09;36.88;4;6
Anibal Ismael Moreno;24;jueves, 13 de mayo de 1999;Primera Division;2023;Midfielder;Racing Club;1401;698;703;Argentina;16;2;1;0;0;4;0;0.06;58.72;12;5
Anibal Jonathan Gaston Bay;30;lunes, 01 de febrero de 1993;Primera Division;2023;Defender;Instituto;424;278;146;Argentina;8;0;0;0;0;2;0;0;32.05;3;2
Antonio Napolitano;24;martes, 16 de febrero de 1999;Primera Division;2023;Midfielder;Gimnasia La Plata;687;287;400;Argentina;15;0;0;0;0;1;0;0;0.00;0;0
Ariel Agustin Sant'Anna Quintero;25;sabado, 27 de septiembre de 1997;Primera Division;2023;Defender;Defensa y Justicia;1990;964;1026;Uruguay;25;0;2;0;0;7;0;0.09;29.76;19;6
Ariel Matias Garcia;31;martes, 22 de octubre de 1991;Primera Division;2023;Midfielder;Belgrano;740;344;396;Argentina;10;1;0;0;0;3;0;0;38.07;9;1
Ariel Mauricio Rojas;37;jueves, 16 de enero de 1986;Primera Division;2023;Midfielder;Belgrano;1055;450;605;Argentina;20;0;3;0;0;3;0;0.26;39.53;2;7
Armando Jesus Mendez Alcorta;27;domingo, 31 de marzo de 1996;Primera Division;2023;Defender;Newell's Old Boys;963;439;524;Uruguay;12;0;0;0;0;1;0;0;25.98;3;2
Astor Piatti;20;lunes, 13 de enero de 2003;Primera Division;2023;Defender;Rosario Central;0;0;0;Argentina;0;0;0;0;0;0;0;0;0;0;0
Augusto Lotti;27;lunes, 10 de junio de 1996;Primera Division;2023;Forward;Lanus;109;74;35;Italy;3;1;0;0;0;1;0;0;29.72;3;0
Augusto Martin Batalla Barga;27;martes, 30 de abril de 1996;Primera Division;2023;Goalkeeper;San Lorenzo;2250;1170;1080;Argentina;25;0;0;0;0;5;0;0;25.00;0;0
Augusto Schott;23;lunes, 17 de enero de 2000;Primera Division;2023;Defender;Newell's Old Boys;356;120;236;Argentina;10;0;0;0;0;1;0;0;22.38;3;0
Axel Atum;17;lunes, 02 de enero de 2006;Primera Division;2023;Midfielder;Estudiantes;93;42;51;Argentina;4;0;1;0;0;0;0;0.97;0.00;0;0
Axel Rodriguez;26;martes, 25 de marzo de 1997;Primera Division;2023;Forward;Instituto;441;238;203;Argentina;17;1;0;0;0;4;0;0;19.18;12;1
Axel Werner;27;miercoles, 28 de febrero de 1996;Primera Division;2023;Goalkeeper;Rosario Central;0;0;0;Argentina;0;0;0;0;0;0;0;0;0;0;0
Ayrton Enrique Costa;24;lunes, 12 de julio de 1999;Primera Division;2023;Midfielder;Independiente;2430;1260;1170;Argentina;27;1;2;0;0;9;0;0.07;33.15;16;3
Baldomero Perlaza Perlaza;31;martes, 02 de junio de 1992;Primera Division;2023;Midfielder;Colon;1948;968;980;Colombia;24;1;3;0;0;5;0;0.14;30.12;13;8
Baltasar Gallego Rodriguez;20;miercoles, 09 de julio de 2003;Primera Division;2023;Midfielder;Racing Club;712;311;401;Argentina;14;2;0;0;0;3;0;0;0.00;0;0
Bautista Barros Schelotto;23;jueves, 13 de enero de 2000;Primera Division;2023;Defender;Gimnasia La Plata;1349;811;538;Argentina;17;1;1;0;0;2;0;0.07;25.89;5;2
Bautista Biffi;22;jueves, 02 de agosto de 2001;Primera Division;2023;Defender;Estudiantes;0;0;0;Argentina;0;0;0;0;0;0;0;0;0;0;0
Bautista Kociubinski;22;jueves, 26 de abril de 2001;Primera Division;2023;Midfielder;Atletico Tucuman;1270;636;634;Argentina;22;2;0;0;0;3;0;0;45.50;12;2
Benjamin Rollheiser;23;viernes, 24 de marzo de 2000;Primera Division;2023;Forward;Estudiantes;2177;1054;1123;Argentina;29;6;3;0;1;2;0;0.12;41.50;53;1
Blas Agustin Palavecino;20;domingo, 09 de marzo de 2003;Primera Division;2023;Forward;Estudiantes;0;0;0;Argentina;0;0;0;0;0;0;0;0;0;0;0
