full_name;name;last_name;age;birthday_GMT;league;season;position;Current Club;minutes_played_overall;minutes_played_home;minutes_played_away;nationality;appearances_overall;goals_overall;assists_overall;penalty_goals;penalty_misses;yellow_cards_overall;red_cards_overall;assists_per_90_overall;passes_per_90_overall;shots_total_overall;blocks_total_overall;;;enero;1
Aaron Anselmino;Aaron;Anselmino;18;2005-04-29;Primera Division;2023;Defender;Boca Juniors;44;44;0;Argentina;2;0;0;0;0;0;0;0;0.00;0;0;;;febrero;2
Aaron Facundo Quiroz;Aaron;Facundo Quiroz;21;2001-10-31;Primera Division;2023;Defender;Banfield;1626;694;932;Argentina;21;1;1;0;0;3;0;0.06;0.00;0;0;;;marzo;3
Aaron Nicolas Molinas;Aaron;Nicolas Molinas;23;2000-08-02;Primera Division;2023;Midfielder;Tigre;1357;595;762;Argentina;25;1;3;0;0;4;0;0.2;0.00;0;0;;;abril;4
Adam Fernando Bareiro Gamarra;Adam;Fernando Bareiro Gamarra;27;1996-07-26;Primera Division;2023;Forward;San Lorenzo;2030;953;1077;Paraguay;26;9;1;3;0;10;1;0.04;22.08;33;0;;;mayo;5
Adriaan Emmanuel Martinez;Adriaan;Emmanuel Martinez;31;1992-07-07;Primera Division;2023;Forward;Instituto;2559;1249;1310;Argentina;29;12;1;1;0;8;0;0.04;22.82;47;5;;;junio;6
Adrian  Guillermo Sanchez;Adrian; Guillermo Sanchez;24;1999-05-14;Primera Division;2023;Midfielder;Atletico Tucuman;1743;727;1016;Argentina;26;1;1;0;0;4;0;0.05;0.00;0;0;;;julio;7
Adriian Sporle;Adriian;Sporle;28;1995-07-13;Primera Division;2023;Defender;Arsenal de Sarandi;2306;1151;1155;Argentina;28;1;1;0;0;7;1;0.04;32.69;12;6;;;agosto;8
Agostino Luigi Spina;Agostino;Luigi Spina;21;2001-10-31;Primera Division;2023;Midfielder;Huracan;309;98;211;Argentina;5;0;0;0;0;1;0;0;36.70;2;2;;;septiembre;9
Agustin Alonso;Agustin;Alonso;22;2001-01-23;Primera Division;2023;Midfielder;Platense;228;195;33;Argentina;7;0;0;0;0;0;0;0;0.00;0;0;;;octubre;10
Agustin Baldi;Agustin;Baldi;21;2002-05-11;Primera Division;2023;Midfielder;Tigre;0;0;0;Argentina;0;0;0;0;0;0;0;0;0;0;0;;;noviembre;11
Agustin Cardozo;Agustin;Cardozo;26;1997-05-30;Primera Division;2023;Midfielder;Tigre;1363;681;682;Argentina;25;1;0;0;0;2;0;0;55.99;6;2;;;diciembre;12
Agustin Ezequiel Almendra;Agustin;Ezequiel Almendra;23;2000-02-11;Primera Division;2023;Midfielder;Racing Club;143;19;124;Argentina;3;0;1;0;0;0;0;0.63;33.99;1;1;;;;
Agustin Gabriel Bolivar;Agustin;Gabriel Bolivar;27;1996-01-09;Primera Division;2023;Midfielder;Gimnasia La Plata;1128;550;578;Argentina;17;0;1;0;0;2;0;0.08;31.91;7;4;;;;
Agustin Giay;Agustin;Giay;19;2004-01-16;Primera Division;2023;Midfielder;San Lorenzo;1247;739;508;Argentina;17;0;0;0;0;3;1;0;0.00;0;0;;;;
Agustin Hausch;Agustin;Hausch;20;2003-05-21;Primera Division;2023;Forward;San Lorenzo;0;0;0;Argentina;0;0;0;0;0;0;0;0;0;0;0;;;;
Agustin Ismael Alvarez;Agustin;Ismael Alvarez;19;2004-01-04;Primera Division;2023;Defender;Arsenal de Sarandi;0;0;0;Argentina;0;0;0;0;0;0;0;0;0;0;0;;;;
Agustin Javier Rodriguez;Agustin;Javier Rodriguez;19;2004-05-02;Primera Division;2023;Midfielder;Lanus;0;0;0;Argentina;0;0;0;0;0;0;0;0;0;0;0;;;;
Agustin Lagos;Agustin;Lagos;21;2001-10-09;Primera Division;2023;Defender;Atletico Tucuman;0;0;0;Argentina;0;0;0;0;0;0;0;0;0;0;0;;;;
Agustin Martegani;Agustin;Martegani;23;2000-05-20;Primera Division;2023;Midfielder;San Lorenzo;754;432;322;Argentina;16;0;1;0;0;2;0;0.12;40.60;9;1;;;;
Agustin Nicola Dattola;Agustin;Nicola Dattola;24;1999-04-20;Primera Division;2023;Defender;Barracas Central;343;180;163;Argentina;5;0;0;0;0;2;0;0;23.09;0;1;;;;
Agustin Nicola Mulet;Agustin;Nicola Mulet;23;2000-02-22;Primera Division;2023;Midfielder;Independiente;573;196;377;Argentina;13;0;0;0;0;1;0;0;34.10;1;0;;;;
Agustin Obando;Agustin;Obando;23;2000-03-11;Primera Division;2023;Forward;Tigre;225;95;130;Argentina;9;0;0;0;0;2;0;0;29.20;4;0;;;;
Agustin Ojeda;Agustin;Ojeda;19;2004-06-19;Primera Division;2023;Midfielder;Racing Club;280;174;106;Argentina;7;1;1;0;0;0;0;0.32;27.00;5;0;;;;
Agustin Palavecino;Agustin;Palavecino;26;1996-11-09;Primera Division;2023;Midfielder;River Plate;919;300;619;Argentina;24;2;0;0;0;5;1;0;56.41;20;1;;;;
Agustin Quiroga;Agustin;Quiroga;21;2002-04-06;Primera Division;2023;Goalkeeper;Independiente;15;0;15;Argentina;1;0;0;0;0;0;0;0;0.00;0;0;;;;
Agustin Ramirez;Agustin;Ramirez;23;2000-05-02;Primera Division;2023;Forward;Gimnasia La Plata;46;0;46;Argentina;3;0;0;0;0;1;0;0;23.48;0;0;;;;
