team_name;common_name;season;country;minutes_per_goal_scored_overall;minutes_per_goal_conceded_overall;shots_per_match_overall;fouls_by_this_team_overall;offsides_total_overall
CA Tigre;Tigre;2023;Argentina;93;82;14.17;302;95
CA Belgrano de Cordoba;Belgrano;2023;Argentina;108;90;10.67;332;103
CA Union de Santa Fe;Union Santa Fe;2023;Argentina;113;97;10.9;395;96
Club Atletico Velez Sarsfield;Velez Sarsfield;2023;Argentina;97;93;9.43;375;86
CA Talleres de Cordoba;Talleres Cordoba;2023;Argentina;57;103;12.07;351;97
CSD Defensa y Justicia;Defensa y Justicia;2023;Argentina;70;108;11.03;324;114
CA Independiente;Independiente;2023;Argentina;100;77;9.9;432;90
CA Lanus;Lanus;2023;Argentina;68;87;11.27;377;82
CA Boca Juniors;Boca Juniors;2023;Argentina;75;100;10.37;340;82
CA Banfield;Banfield;2023;Argentina;108;80;10.76;363;81
Colon de Santa Fe;Colon;2023;Argentina;113;77;10.1;389;83
Gimnasia y Esgrima La Plata;Gimnasia La Plata;2023;Argentina;108;60;11.5;334;110
Estudiantes de La Plata;Estudiantes;2023;Argentina;71;87;12.5;345;79
CA Rosario Central;Rosario Central;2023;Argentina;71;84;11.93;341;85
CA San Lorenzo de Almagro;San Lorenzo;2023;Argentina;100;170;10.13;385;111
Newell's Old Boys;Newell's Old Boys;2023;Argentina;97;108;10.27;337;73
Arsenal de Sarandi;Arsenal de Sarandi;2023;Argentina;123;69;9.03;380;90
Racing Club de Avellaneda;Racing Club;2023;Argentina;66;71;11.27;361;127
CA River Plate;River Plate;2023;Argentina;47;103;13.77;342;107
CA Tucuman;Atletico Tucuman;2023;Argentina;100;93;11.2;365;96
Godoy Cruz Antonio Tomba;Godoy Cruz;2023;Argentina;65;77;12.38;368;102
CA Huracan;Huracan;2023;Argentina;117;84;10.5;390;75
Argentinos Juniors;Argentinos Juniors;2023;Argentina;71;93;12.87;366;103
CA Central Cordoba de Santiago del Estero;Central Cordoba SdE;2023;Argentina;117;77;11.07;279;102
CA Platense;Platense;2023;Argentina;93;77;10.4;381;105
CA Barracas Central;Barracas Central;2023;Argentina;97;73;8.67;332;89
CA Sarmiento;Sarmiento;2023;Argentina;100;100;10.47;387;82
Instituto AC Cordoba;Instituto;2023;Argentina;108;75;10.93;351;81
Ferroviaria Futebol;Ferroviaria;2023;Brazil;38;90;12.88;0;0
Sport Club Corinthians Paulista;Corinthians;2023;Brazil;27;155;16.4;0;0
Clube de Regatas do Flamengo Women;Flamengo W;2023;Brazil;61;73;13.53;0;0
SE Kindermann;Kindermann;2023;Brazil;54;41;10.2;0;0
Santos FC;Santos;2023;Brazil;44;101;16.07;0;0
Gremio FB Porto Alegrense Women;Gremio W;2023;Brazil;84;61;11.62;0;0
Sao Paulo Futebol Clube Women;Sao Paulo Women;2023;Brazil;50;95;12.93;0;0
SE Palmeiras Women;Palmeiras Women;2023;Brazil;31;85;16.67;0;0
Internacional RS;Internacional RS;2023;Brazil;61;76;12.62;0;0
Cruzeiro EC Women;Cruzeiro W;2023;Brazil;39;48;14.67;0;0
Bahia Women;Bahia W;2023;Brazil;54;41;12.13;0;0
Real Brasi­lia FC;Real Brasi­lia W;2023;Brazil;84;56;13.57;0;0
CA Mineiro Women;Atletico Mineiro W;2023;Brazil;80;59;17.07;0;0
Club Athletico Paranaense;Athletico Paranaense;2023;Brazil;90;41;10.64;0;0
Cear SC Women;Cear W;2023;Brazil;191;18;9.25;0;0
Real Desportivo Ariquemes FC Women;Real Ariquemes W;2023;Brazil;134;25;8,00;0;0
Arsenal FC;Arsenal;2023/2024;England;45;90;10,00;8;3
Tottenham Hotspur FC;Tottenham Hotspur;2023/2024;England;33;90;14,00;8;3
Manchester City FC;Manchester City;2023/2024;England;33;180;7,00;13;2
Crystal Palace FC;Crystal Palace;2023/2024;England;72;90;16,00;10;3
Everton FC;Everton;2023/2024;England;180;45;10,00;13;3
Burnley FC;Burnley;2023/2024;England;90;25;11,00;15;3
AFC Bournemouth;AFC Bournemouth;2023/2024;England;90;45;11,00;13;2
Manchester United FC;Manchester United;2023/2024;England;72;51;5,00;7;3
Liverpool FC;Liverpool;2023/2024;England;40;120;15,00;11;7
Chelsea FC;Chelsea;2023/2024;England;72;72;9,00;12;5
West Ham United FC;West Ham United;2023/2024;England;40;90;8,00;13;6
Newcastle United FC;Newcastle United;2023/2024;England;51;51;7,00;17;5
Aston Villa FC;Aston Villa;2023/2024;England;45;40;10,00;7;7
Fulham FC;Fulham;2023/2024;England;90;36;6,00;9;2
Brighton & Hove Albion FC;Brighton & Hove Albion;2023/2024;England;30;60;12,00;14;5
Nottingham Forest FC;Nottingham Forest;2023/2024;England;60;60;8,00;10;5
Brentford FC;Brentford;2023/2024;England;45;72;19,00;7;2
Wolverhampton Wanderers FC;Wolverhampton Wanderers;2023/2024;England;90;45;11,00;12;3
Sheffield United FC;Sheffield United;2023/2024;England;90;51;13,00;11;3
Luton Town FC;Luton Town;2023/2024;England;134;30;12,00;9;6
