timestamp;date_GMT;date;status;country;home_team_name;away_team_name;referee;referee_name;referee_last_name;home_team_goal_count;away_team_goal_count;total_goal_count;home_team_yellow_cards;home_team_red_cards;home_team_shots;away_team_shots;home_team_fouls;away_team_fouls;home_team_possession;away_team_possession;stadium_name
1674857700;1/27/2023 ;2023-01-27;complete;Argentina;Rosario Central;Argentinos Juniors;Yael Falcon Perez;Yael;Falcon Perez;1;0;1;3;0;8;20;16;13;24;76;Estadio Gigante de Arroyito (Rosario- Provincia de Santa Fe)
1674865800;1/28/2023 ;2023-01-28;complete;Argentina;Defensa y Justicia;Huracan;Sebastian Zunino;Sebastian;Zunino;2;4;6;2;1;16;15;13;11;62;38;Estadio Norberto Tito Tomaghello (Florencio Varela- Provincia de Buenos Aires)
1674936000;1/28/2023 ;2023-01-28;complete;Argentina;San Lorenzo;Arsenal de Sarandi;Fernando Echenique;Fernando;Echenique;1;0;1;1;0;13;11;15;15;45;55;Estadio Pedro Bidegaín (Capital Federal- Ciudad de Buenos Aires)
1674944100;1/28/2023 ;2023-01-28;complete;Argentina;Estudiantes;Tigre;Fernando Espinoza;Fernando;Espinoza;1;2;3;2;0;18;15;12;12;61;39;Estadio Jorge Luis Hirschi (La Plata- Provincia de Buenos Aires)
1674944100;1/28/2023 ;2023-01-28;complete;Argentina;Talleres Cordoba;Independiente;Hernan Mastrangelo;Hernan;Mastrangelo;0;1;1;4;1;9;13;15;21;61;39;Estadio Mario Alberto Kempes (Ciudad de Córdoba- Provincia de Córdoba)
1674952200;1/29/2023 ;2023-01-29;complete;Argentina;Central Cordoba SdE;River Plate;Facundo Tello Figueroa;Facundo;Tello Figueroa;0;2;2;0;0;14;22;12;13;36;64;Estadio Alfredo Terrera (Santiago del Estero- Provincia de Santiago del Est)
1675022400;1/29/2023 ;2023-01-29;complete;Argentina;Platense;Newell's Old Boys;noname;noname;;2;2;4;2;0;11;13;16;11;49;51;Estadio Ciudad de Vicente Lopez (Vicente Lopez- Provincia de Buenos Aires)
1675030500;1/29/2023 ;2023-01-29;complete;Argentina;Racing Club;Belgrano;Dario Herrera;Dario;Herrera;0;0;0;1;0;19;8;4;15;70;30;Estadio Presidente Juan Domingo Perón (Avellaneda- Provincia de Buenos Aires)
1675030500;1/29/2023 ;2023-01-29;complete;Argentina;Colon;Lanus;Pablo Davalo;Pablo;Davalo;1;2;3;2;0;10;15;13;15;61;39;Estadio Brigadier General Estanislao López (Ciudad de Santa Fe- Provincia de Santa Fe)
1675030500;1/29/2023 ;2023-01-29;complete;Argentina;Instituto;Sarmiento;Andres Merlos;Andres;Merlos;0;0;0;2;0;18;6;10;9;66;34;Estadio Juan Domingo Perón (Ciudad de Córdoba- Provincia de Córdoba)
1675038600;1/30/2023 ;2023-01-30;complete;Argentina;Boca Juniors;Atletico Tucuman;Jorge Baliño;Jorge;Baliño;1;0;1;1;0;18;13;13;24;61;39;Estadio Alberto Jose Armando (Ciudad de Buenos Aires)
